TRAIT,LOD,CHR,pos_low,pos_high,QxE,Index,Overlap0,Overlap1,Overlap2,Overlap3,Overlap4,Group,TRAIT
Al27,4.528543593,4N,6.073624,41.74813,Yes,u,Al,Mg,Fe,,,harmful,Al27
Al27,3.710886502,5K,10.384768,29.714568,No,w,Al,Sr,,,,harmful,Al27
Al27,8.723848735,7K,46.620604,49.229533,Yes,ad,Al,Fe,Sr,Ca,Mn,harmful,Al27
Al27,6.388090307,9K,50.343283,59.610088,No,al,Al,Sr,,,,harmful,Al27
Ca44,4.410905936,2N,6.630499,18.355492,Yes,j,Ca,Sr,Zn,,,macronutrient,Ca44
Ca44,8.17425202,7K,46.620604,51.663664,No,ad,Ca,Fe,Sr,Al,Mn,macronutrient,Ca44
Ca44,9.043582325,8K,10.70002,36.811747,No,ag,Ca,K,P,,,macronutrient,Ca44
Ca44,4.539289644,9K,1.411669,7.768468,Yes,aj,Ca,Mn,Mg,,,macronutrient,Ca44
Ca44,10.42481571,9K,62.951257,66.817387,No,am,Ca,P,K,,,macronutrient,Ca44
Cd111,55.07093468,2K,14.579029,20.557882,Yes,g,Cd,Sr,,,,harmful,Cd111
Cd111,4.291286162,2N,60.1084,69.397197,Yes,l,Cd,Rb,P,,,harmful,Cd111
Cu63,7.373977079,1K,4.12849,9.026722,No,a,Cu,K,P,,,micronutrient,Cu63
Cu63,6.634147473,1K,49.327867,54.320869,No,c,Cu,,,,,micronutrient,Cu63
Cu63,8.85663059,3K,18.94096,26.170048,No,n,Cu,Zn,Mg,,,micronutrient,Cu63
Cu63,4.422186101,4K,4.765272,13.041487,No,s,Cu,,,,,micronutrient,Cu63
Cu63,22.70967748,7K,35.812207,42.907807,Yes,ac,Cu,Zn,,,,micronutrient,Cu63
Fe54,3.789928072,4N,4.359745,12.617209,No,u,Fe,K,Mg,Al,,micronutrient,Fe54
Fe54,6.507824615,7K,45.702064,49.631374,No,ad,Fe,Sr,Al,Ca,Mn,micronutrient,Fe54
K39,4.526850073,1K,7.278337,15.256675,No,a,K,P,Cu,,,macronutrient,K39
K39,5.365657951,2N,41.036788,52.128118,Yes,k,K,,,,,macronutrient,K39
K39,3.622570507,4N,0.911899,4.970566,No,u,K,Mg,Fe,,,macronutrient,K39
K39,5.586376378,8K,8.319997,30.217699,No,ag,K,Ca,P,,,macronutrient,K39
K39,3.97771681,9K,65.490283,69.285376,Yes,am,K,Ca,,,,macronutrient,K39
K39,4.282509301,9N,15.052555,20.831824,Yes,an,K,P,Mo,,,macronutrient,K39
K39,5.270810831,9N,57.398869,69.901948,No,ao,K,,,,,macronutrient,K39
Mg26,6.353672033,1N,57.704725,63.878545,No,e,Mg,,,,,macronutrient,Mg26
Mg26,6.126307813,2K,1.973728,5.826736,Yes,f,Mg,,,,,macronutrient,Mg26
Mg26,4.956620062,2K,57.24019,65.441197,Yes,h,Mg,,,,,macronutrient,Mg26
Mg26,4.016365149,3K,20.786505,51.144454,No,n,Mg,Zn,Cu,,,macronutrient,Mg26
Mg26,3.949287897,3N,1.207954,6.612355,No,p,Mg,,,,,macronutrient,Mg26
Mg26,3.601560132,4N,1.926991,10.384768,No,u,Mg,K,Fe,Al,,macronutrient,Mg26
Mg26,4.180676553,5N,48.894679,55.87129,No,ab,Mg,,,,,macronutrient,Mg26
Mg26,4.176635317,7N,40.419001,45.931942,No,af,Mg,,,,,macronutrient,Mg26
Mg26,11.52636691,9K,3.373489,6.619969,Yes,aj,Mg,Ca,Mn,,,macronutrient,Mg26
Mn55,9.099510423,2N,1.087102,6.630499,Yes,i,Mn,P,,,,micronutrient,Mn55
Mn55,4.713862768,3N,14.206591,23.096017,Yes,q,Mn,P,,,,micronutrient,Mn55
Mn55,3.550161206,5K,1.892161,10.384768,No,v,Mn,,,,,micronutrient,Mn55
Mn55,8.106799765,7K,46.620604,49.229533,No,ad,Mn,Fe,Sr,Al,Ca,micronutrient,Mn55
Mn55,6.133338284,9K,2.741365,8.498764,No,aj,Mn,Ca,Mg,,,micronutrient,Mn55
Mo98,6.362932044,5K,38.385172,50.651488,Yes,x,Mo,Na,P,,,micronutrient,Mo98
Mo98,14.9683198,9N,18.617122,25.48572,Yes,an,Mo,K,Sr,,,micronutrient,Mo98
Na23,38.41809347,5K,36.622774,42.854833,Yes,x,Na,Mo,P,,,harmful,Na23
Na23,36.8637185,5N,24.852745,29.58464,Yes,aa,Na,,,,,harmful,Na23
P31,4.304427512,1K,3.37762,9.52066,No,a,P,Cu,K,,,macronutrient,P31
P31,5.905372623,1K,49.327867,55.295623,No,d,P,,,,,macronutrient,P31
P31,4.19684515,2N,1.087102,6.630499,No,i,P,Mn,,,,macronutrient,P31
P31,8.427066633,2N,59.589757,66.616426,Yes,l,P,Rb,Cd,,,macronutrient,P31
P31,10.97770683,3K,5.431132,12.516769,Yes,m,P,,,,,macronutrient,P31
P31,6.081705243,3K,59.445577,62.002423,No,o,P,,,,,macronutrient,P31
P31,5.101496965,3N,14.206591,28.061601,Yes,q,P,Mn,,,,macronutrient,P31
P31,7.720763748,4K,1.847328,4.765272,Yes,r,P,,,,,macronutrient,P31
P31,3.967221478,4K,33.40999,45.560112,Yes,t,P,,,,,macronutrient,P31
P31,13.58715122,5K,38.385172,53.154955,No,x,P,Mo,Na,,,macronutrient,P31
P31,4.862499233,5N,1.464967,4.933063,No,z,P,,,,,macronutrient,P31
P31,7.336376583,8K,10.70002,22.570003,No,ag,P,K,Ca,,,macronutrient,P31
P31,8.063427642,9K,60.897097,63.87085,No,am,P,Ca,,,,macronutrient,P31
P31,3.564543662,9N,2.370466,18.617122,No,an,P,Rb,K,,,macronutrient,P31
Rb85,6.835452467,1K,16.071535,28.760266,No,b,Rb,,,,,non-essential analogue,Rb85
Rb85,8.849043268,2N,19.748692,33.563404,Yes,j,Rb,Zn,,,,non-essential analogue,Rb85
Rb85,6.681201341,2N,57.985512,61.027669,Yes,l,Rb,P,Cd,,,non-essential analogue,Rb85
Rb85,4.243460304,5K,58.488157,60.232411,Yes,y,Rb,,,,,non-essential analogue,Rb85
Rb85,4.327369317,7N,21.662925,37.391059,No,ae,Rb,Sr,,,,non-essential analogue,Rb85
Rb85,4.091101757,8N,3.180385,13.167118,Yes,ai,Rb,,,,,non-essential analogue,Rb85
Rb85,6.775187884,9N,9.380976,13.689487,Yes,an,Rb,P,,,,non-essential analogue,Rb85
Rb85,3.866062571,9N,27.846586,53.92243,No,an,Rb,Sr,,,,non-essential analogue,Rb85
Sr88,4.833440042,2K,11.988568,16.719373,Yes,g,Sr,Cd,,,,non-essential analogue,Sr88
Sr88,4.610028999,2N,9.138421,19.748692,Yes,j,Sr,Ca,Zn,,,non-essential analogue,Sr88
Sr88,4.749293615,5K,4.388419,13.398535,No,w,Sr,Al,,,,non-essential analogue,Sr88
Sr88,7.090475599,7K,45.702064,50.993916,Yes,ad,Sr,Fe,Al,Ca,Mn,non-essential analogue,Sr88
Sr88,4.953406451,7N,14.15224,29.819179,Yes,ae,Sr,Rb,,,,non-essential analogue,Sr88
Sr88,9.343129125,8K,46.664101,53.831953,Yes,ah,Sr,,,,,non-essential analogue,Sr88
Sr88,6.788020206,9K,12.232945,16.740595,No,ak,Sr,,,,,non-essential analogue,Sr88
Sr88,17.51328575,9K,52.398172,55.282015,Yes,al,Sr,Al,,,,non-essential analogue,Sr88
Sr88,4.947592127,9N,23.737375,38.476459,Yes,an,Sr,Mo,Rb,,,non-essential analogue,Sr88
Zn66,6.40980137,2N,10.727803,21.063401,Yes,j,Zn,Ca,Sr,Rb,,micronutrient,Zn66
Zn66,4.373490437,3K,16.068781,22.359079,Yes,n,Zn,Cu,Mg,,,micronutrient,Zn66
Zn66,3.572961619,7K,33.913648,47.708677,No,ac,Zn,Cu,,,,micronutrient,Zn66
